idKldi|kldi
B102|PDAM Tirta Mahakam
B105|PDAM Tirta Mangutama Kabupaten Badung
B113|PDAM Tirta Moedal
B123|PD BKK Kesugihan Kabupaten Cilacap
B152|PDAM Kota Denpasar
B154|PDAM Tirta Raharja Kabupaten Bandung
B171|PERUMDA Air Minum Tirta Amertha Buana
B188|Perumda Danum Taka
B189|PT. Tirta Sriwijaya Maju
B200|PT Pusat Kebudayaan Bali (Perseroda)
B6|PT Surabaya Industrial Estate Rungkut
D1|Aceh
D10|Kab. Bireuen
D100|Kab. Majalengka
D1002|Provinsi Papua Tengah
D1003|Provinsi Papua Selatan
D1004|Provinsi Papua Barat Daya
D1005|Provinsi Papua Pegunungan
D101|Kota Bogor
D102|Kab. Bandung Barat
D103|Kab. Cirebon
D104|Kota Sukabumi
D105|Kab. Garut
D106|Kab. Kuningan
D107|Kab. Bandung
D108|Kab. Bogor
D109|Kab. Purwakarta
D11|Kab. Nagan Raya
D110|Kab. Tasikmalaya
D111|Kota Cimahi
D112|Kota Cirebon
D113|Kota Tasikmalaya
D114|Kota Bekasi
D115|Kab. Bekasi
D116|Kab. Ciamis
D117|Kab. Cianjur
D118|Kab. Sumedang
D119|Kota Banjar
D12|Kab. Pidie
D120|Kab. Subang
D121|Kab. Sukabumi
D122|Provinsi Jawa Tengah
D123|Kab. Brebes
D124|Kab. Banyumas
D125|Kab. Karanganyar
D126|Kab. Blora
D127|Kota Tegal
D128|Kab. Kebumen
D129|Kota Semarang
D13|Kab. Pidie Jaya
D130|Kab. Purworejo
D131|Kab. Banjarnegara
D132|Kab. Pekalongan
D133|Kab. Pemalang
D134|Kab. Jepara
D135|Kab. Cilacap
D136|Kab. Batang
D137|Kab. Boyolali
D138|Kab. Semarang
D139|Kab. Sragen
D14|Kota Langsa
D140|Kab. Temanggung
D141|Kab. Klaten
D142|Kab. Tegal
D143|Kota Pekalongan
D144|Kab. Grobogan
D145|Kab. Kudus
D146|Kab. Magelang
D147|Kota Surakarta
D148|Kota Salatiga
D149|Kab. Purbalingga
D15|Kab. Simeulue
D150|Kab. Sukoharjo
D151|Kab. Wonosobo
D152|Kota Magelang
D153|Kab. Wonogiri
D154|Kab. Demak
D155|Kab. Kendal
D156|Kab. Pati
D157|Kab. Rembang
D158|Provinsi Jawa Timur
D159|Kab. Banyuwangi
D16|Kab. Aceh Barat Daya
D160|Kab. Sidoarjo
D161|Kab. Madiun
D162|Kab. Sumenep
D163|Kab. Pacitan
D164|Kab. Jombang
D165|Kab. Magetan
D166|Kab. Malang
D167|Kab. Nganjuk
D168|Kab. Gresik
D169|Kab. Blitar
D17|Kab. Aceh Singkil
D170|Kab. Mojokerto
D171|Kab. Bojonegoro
D172|Kab. Jember
D173|Kab. Kediri
D174|Kab. Lamongan
D175|Kab. Ngawi
D176|Kab. Situbondo
D177|Kota Batu
D178|Kota Blitar
D179|Kota Madiun
D18|Kab. Aceh Tamiang
D180|Kota Malang
D181|Kota Surabaya
D182|Kab. Probolinggo
D183|Kab. Lumajang
D184|Kota Mojokerto
D185|Kab. Pasuruan
D186|Kab. Sampang
D187|Kota Kediri
D188|Kota Probolinggo
D189|Kab. Tuban
D19|Kab. Gayo Lues
D190|Kab. Bondowoso
D191|Kota Pasuruan
D192|Kab. Trenggalek
D193|Kab. Pamekasan
D194|Kab. Tulungagung
D195|Kab. Bangkalan
D196|Kab. Ponorogo
D197|Provinsi Kalimantan Barat
D198|Kab. Sekadau
D199|Kota Pontianak
D2|Kota Banda Aceh
D20|Kota Subulussalam
D200|Kota Singkawang
D201|Kab. Ketapang
D202|Kab. Kubu Raya
D204|Kab. Sanggau
D205|Kab. Landak
D206|Kab. Bengkayang
D207|Kab. Kayong Utara
D208|Kab. Sambas
D209|Kab. Kapuas Hulu
D21|Kab. Bener Meriah
D210|Kab. Melawi
D211|Kab. Sintang
D212|Provinsi Kalimantan Selatan
D213|Kab. Banjar
D214|Kota Banjarmasin
D215|Kab. Balangan
D216|Kota Banjarbaru
D217|Kab. Hulu Sungai Utara
D218|Kab. Tanah Laut
D219|Kab. Tabalong
D22|Kab. Aceh Selatan
D220|Kab. Tapin
D221|Kab. Hulu Sungai Selatan
D222|Kab. Tanah Bumbu
