[INFO] Fetching initial page to get total count...
   Total records:      3,269,263
   Filtered records:   3,269,263
   Pages:              33
   Page size:          100,000

  Page 1: +100,000 | Total: 100,000/3,269,263 (3.1%)
  Page 2: +100,000 | Total: 200,000/3,269,263 (6.1%)
  Page 3: +100,000 | Total: 300,000/3,269,263 (9.2%)
  Page 4: +100,000 | Total: 400,000/3,269,263 (12.2%)
  Page 5: +100,000 | Total: 500,000/3,269,263 (15.3%)
  Page 6: +100,000 | Total: 600,000/3,269,263 (18.4%)
  Page 7: +100,000 | Total: 700,000/3,269,263 (21.4%)
  Page 8: +100,000 | Total: 800,000/3,269,263 (24.5%)
  Page 9: +100,000 | Total: 900,000/3,269,263 (27.5%)
  Page 10: +100,000 | Total: 1,000,000/3,269,263 (30.6%)
  Page 11: +100,000 | Total: 1,100,000/3,269,263 (33.6%)
  Page 12: +100,000 | Total: 1,200,000/3,269,263 (36.7%)
  Page 13: +100,000 | Total: 1,300,000/3,269,263 (39.8%)
  Page 14: +100,000 | Total: 1,400,000/3,269,263 (42.8%)
  Page 15: +100,000 | Total: 1,500,000/3,269,263 (45.9%)
  Page 16: +100,000 | Total: 1,600,000/3,269,263 (48.9%)
  Page 17: +100,000 | Total: 1,700,000/3,269,263 (52.0%)
  Page 18: +100,000 | Total: 1,800,000/3,269,263 (55.1%)
  Page 19: +100,000 | Total: 1,900,000/3,269,263 (58.1%)
  Page 20: +100,000 | Total: 2,000,000/3,269,263 (61.2%)
  Page 21: +100,000 | Total: 2,100,000/3,269,263 (64.2%)
  Page 22: +100,000 | Total: 2,200,000/3,269,263 (67.3%)
  Page 23: +100,000 | Total: 2,300,000/3,269,263 (70.4%)
  Page 24: +100,000 | Total: 2,400,000/3,269,263 (73.4%)
  Page 25: +100,000 | Total: 2,500,000/3,269,263 (76.5%)
  Page 26: +100,000 | Total: 2,600,000/3,269,263 (79.5%)
  Page 27: +100,000 | Total: 2,700,000/3,269,263 (82.6%)
  Page 28: +100,000 | Total: 2,800,000/3,269,263 (85.6%)
  Page 29: +100,000 | Total: 2,900,000/3,269,263 (88.7%)
  Page 30: +100,000 | Total: 3,000,000/3,269,263 (91.8%)
  Page 31: +100,000 | Total: 3,100,000/3,269,263 (94.8%)
  Page 32: +100,000 | Total: 3,200,000/3,269,263 (97.9%)
  Page 33: +69,263 | Total: 3,269,263/3,269,263 (100.0%)

[DONE] 3,269,263/3,269,263 records (100.0%)
[FILE] sirup_2026_all.jsonl (1693.1 MB)
[OK] All records fetched!
