[INFO] Fetching initial page to get total count (tahunAnggaran=2025)...
   Total records:      4,027,796
   Filtered records:   4,027,796
   Pages:              41
   Page size:          100,000

  Page 1: +100,000 | Total: 100,000/4,027,796 (2.5%)
  Page 2: +100,000 | Total: 200,000/4,027,796 (5.0%)
  Page 3: +100,000 | Total: 300,000/4,027,796 (7.4%)
  Page 4: +100,000 | Total: 400,000/4,027,796 (9.9%)
  Page 5: +100,000 | Total: 500,000/4,027,796 (12.4%)
  Page 6: +100,000 | Total: 600,000/4,027,796 (14.9%)
  Page 7: +100,000 | Total: 700,000/4,027,796 (17.4%)
  Page 8: +100,000 | Total: 800,000/4,027,796 (19.9%)
  Page 9: +100,000 | Total: 900,000/4,027,796 (22.3%)
  Page 10: +100,000 | Total: 1,000,000/4,027,796 (24.8%)
  Page 11: +100,000 | Total: 1,100,000/4,027,796 (27.3%)
  Page 12: +100,000 | Total: 1,200,000/4,027,796 (29.8%)
  Page 13: +100,000 | Total: 1,300,000/4,027,796 (32.3%)
  Page 14: +100,000 | Total: 1,400,000/4,027,796 (34.8%)
  Page 15: +100,000 | Total: 1,500,000/4,027,796 (37.2%)
  Page 16: +100,000 | Total: 1,600,000/4,027,796 (39.7%)
  Page 17: +100,000 | Total: 1,700,000/4,027,796 (42.2%)
  Page 18: +100,000 | Total: 1,800,000/4,027,796 (44.7%)
  Page 19: +100,000 | Total: 1,900,000/4,027,796 (47.2%)
  Page 20: +100,000 | Total: 2,000,000/4,027,796 (49.7%)
  Page 21: +100,000 | Total: 2,100,000/4,027,796 (52.1%)
  Page 22: +100,000 | Total: 2,200,000/4,027,796 (54.6%)
  Page 23: +100,000 | Total: 2,300,000/4,027,796 (57.1%)
  Page 24: +100,000 | Total: 2,400,000/4,027,796 (59.6%)
  Page 25: +100,000 | Total: 2,500,000/4,027,796 (62.1%)
  Page 26: +100,000 | Total: 2,600,000/4,027,796 (64.6%)
  Page 27: +100,000 | Total: 2,700,000/4,027,796 (67.0%)
  Page 28: +100,000 | Total: 2,800,000/4,027,796 (69.5%)
  Page 29: +100,000 | Total: 2,900,000/4,027,796 (72.0%)
  Page 30: +100,000 | Total: 3,000,000/4,027,796 (74.5%)
  Page 31: +100,000 | Total: 3,100,000/4,027,796 (77.0%)
  Page 32: +100,000 | Total: 3,200,000/4,027,796 (79.4%)
  Page 33: +100,000 | Total: 3,300,000/4,027,796 (81.9%)
  Page 34: +100,000 | Total: 3,400,000/4,027,796 (84.4%)
  Page 35: +100,000 | Total: 3,500,000/4,027,796 (86.9%)
  Page 36: +100,000 | Total: 3,600,000/4,027,796 (89.4%)
  Page 37: +100,000 | Total: 3,700,000/4,027,796 (91.9%)
  Page 38: +100,000 | Total: 3,800,000/4,027,796 (94.3%)
  Page 39: +100,000 | Total: 3,900,000/4,027,796 (96.8%)
  Page 40: +100,000 | Total: 4,000,000/4,027,796 (99.3%)
  Page 41: +27,796 | Total: 4,027,796/4,027,796 (100.0%)

[DONE] 4,027,796/4,027,796 records (100.0%)
[FILE] sirup_2025_all.jsonl (2084.8 MB)
[OK] All records fetched!
